dataset_key,dataset_label,seed,bce_auc,libauc_auc
PI1_lowsep_mggn,PI1 low-sep  m>>n,1034,0.7833333333333334,0.7348444444444444
PI1_lowsep_mggn,PI1 low-sep  m>>n,1234,0.7209777777777778,0.6552444444444445
PI1_lowsep_mggn,PI1 low-sep  m>>n,42,0.7544888888888889,0.6935555555555555
PI1_lowsep_mggn,PI1 low-sep  m>>n,99,0.7060000000000001,0.6432
PI1_lowsep_mggn,PI1 low-sep  m>>n,7,0.7512444444444445,0.6427999999999999
PI1_lowsep_mggn,PI1 low-sep  m>>n,2,0.7174666666666666,0.6843999999999999
PI3_lowsep_mlln,PI3 low-sep  m<<n,1034,0.5178571428571428,0.6607142857142857
PI3_lowsep_mlln,PI3 low-sep  m<<n,1234,0.5357142857142858,0.625
PI3_lowsep_mlln,PI3 low-sep  m<<n,42,0.375,0.5178571428571428
PI3_lowsep_mlln,PI3 low-sep  m<<n,99,0.30357142857142855,0.4107142857142857
PI3_lowsep_mlln,PI3 low-sep  m<<n,7,0.4821428571428571,0.5
PI3_lowsep_mlln,PI3 low-sep  m<<n,2,0.6071428571428571,0.75
PI4_highsep_mggn,PI4 high-sep m>>n,1034,1.0,0.9995111111111111
PI4_highsep_mggn,PI4 high-sep m>>n,1234,1.0,0.9997333333333334
PI4_highsep_mggn,PI4 high-sep m>>n,42,1.0,0.9990666666666667
PI4_highsep_mggn,PI4 high-sep m>>n,99,1.0,0.9999111111111111
PI4_highsep_mggn,PI4 high-sep m>>n,7,1.0,0.9996444444444444
PI4_highsep_mggn,PI4 high-sep m>>n,2,1.0,0.999688888888889
PI6_highsep_mlln,PI6 high-sep m<<n,1034,1.0,0.7321428571428571
PI6_highsep_mlln,PI6 high-sep m<<n,1234,1.0,0.6607142857142857
PI6_highsep_mlln,PI6 high-sep m<<n,42,1.0,0.9285714285714286
PI6_highsep_mlln,PI6 high-sep m<<n,99,0.9821428571428572,0.7499999999999999
PI6_highsep_mlln,PI6 high-sep m<<n,7,1.0,0.7142857142857143
PI6_highsep_mlln,PI6 high-sep m<<n,2,1.0,0.8571428571428572
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),1034,0.7494212962962962,0.6929012345679012
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),1234,0.6531635802469136,0.6369598765432098
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),42,0.7430555555555556,0.5231481481481481
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),99,0.7058256172839505,0.5914351851851852
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),7,0.7428626543209876,0.6703317901234567
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),2,0.7729552469135803,0.5787037037037037
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),1034,0.9996141975308642,0.9855324074074074
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),1234,1.0,0.9909336419753085
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),42,1.0,0.9909336419753086
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),99,1.0,0.9967206790123456
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),7,1.0,0.9988425925925927
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),2,1.0,0.9992283950617284
