iteration,residual_inf,obj_value,ssn_iters,sigma_t
1,0.2906032867440859,0.18979427465735627,10,0.1
2,0.038672888956823685,0.20594506306195398,10,0.2
3,0.030409742904492963,0.2137964824616729,10,0.4
4,0.044079480160343215,0.23529411767207736,25,0.8
5,0.029442578193839792,0.2549019607851553,25,1.6
6,0.022951141466656284,0.2647058823529816,23,3.2
7,0.01918030888828383,0.2679738562091699,22,6.4
8,0.01423209869105524,0.27450980392158947,18,12.8
9,0.008940137444417242,0.2777777777777901,14,25.6
10,0.000248843234613774,0.27777777777778445,14,51.2
11,0.00020551770924075874,0.2777777777777809,14,102.4
12,0.012847060486955818,0.28104575163398693,1,204.8
13,0.00014125229105597437,0.28104575163398693,1,409.6
14,0.00011588254564728769,0.28104575163398693,1,819.2
15,9.610852757103187e-05,0.28104575163398693,1,1638.4
