dataset_key,dataset_label,sigma,trial,init_seed,auc,alm_iter,alm_time,converged
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,0,1000,0.48897777777777773,2,0.32157468795776367,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,1,1001,0.496,2,0.25260496139526367,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,2,1002,0.5101333333333333,2,0.23882389068603516,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,3,1003,0.5768,2,0.2642478942871094,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,4,1004,0.5150666666666667,2,0.21046018600463867,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,5,1005,0.47324444444444447,2,0.26424217224121094,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,6,1006,0.4987555555555555,2,0.17802119255065918,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,7,1007,0.5012888888888889,2,0.265836238861084,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,8,1008,0.4335555555555555,2,0.2178480625152588,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,9,1009,0.5805333333333333,2,0.36372804641723633,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,10,1010,0.4822222222222222,2,0.22634220123291016,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,11,1011,0.522888888888889,2,0.20137405395507812,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,12,1012,0.44128888888888895,2,0.20194411277770996,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,13,1013,0.42728888888888883,2,0.1770181655883789,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,14,1014,0.5204444444444445,2,0.19936203956604004,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,15,1015,0.47715555555555556,2,0.26334500312805176,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,16,1016,0.49839999999999995,2,0.20196104049682617,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,17,1017,0.4640888888888889,2,0.19484591484069824,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,18,1018,0.5061777777777778,2,0.2447967529296875,1
PI1_lowsep_mggn,PI1 low-sep  m>>n,1.0,19,1019,0.4845777777777779,2,0.2648131847381592,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,0,1000,0.8035714285714286,26,0.4060699939727783,1
PI3_lowsep_mlln,PI3 low-sep  m<<n,1.0,1,1001,0.30357142857142855,22,0.4323272705078125,1
