dataset_key,dataset_label,m,n,sep,regime,sigma,gamma,seed,auc,alm_iter,alm_time,L_final
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.1,10.0,1034,0.788088888888889,2,0.4002251625061035,0.1875403869283074
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.1,10.0,1234,0.7535555555555555,2,0.3726668357849121,0.17650507727211154
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.1,10.0,42,0.7825333333333333,2,0.27446889877319336,0.18969495758908234
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.1,10.0,99,0.7292444444444444,2,0.15568113327026367,0.189557901800122
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.1,10.0,7,0.7871111111111112,2,0.15113592147827148,0.1693922408134112
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.1,10.0,2,0.7663111111111112,2,0.21886014938354492,0.18069541838649003
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.25,4.0,1034,0.7878222222222222,2,0.14748072624206543,0.20820665954247541
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.25,4.0,1234,0.7537777777777777,2,0.14735984802246094,0.19638233006678815
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.25,4.0,42,0.782711111111111,2,0.15003180503845215,0.2122175003348524
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.25,4.0,99,0.7291555555555556,2,0.14899301528930664,0.21134210814267065
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.25,4.0,7,0.7875555555555556,2,0.14503979682922363,0.1877195006418816
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.25,4.0,2,0.7663111111111112,2,0.1476759910583496,0.2024323074731188
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.5,2.0,1034,0.788888888888889,2,0.1659090518951416,0.2215497988750848
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.5,2.0,1234,0.7532,2,0.14452505111694336,0.20855417894271325
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.5,2.0,42,0.7830222222222223,2,0.1680309772491455,0.22580787336823718
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.5,2.0,99,0.7303111111111111,2,0.1665349006652832,0.2258297001334868
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.5,2.0,7,0.7872,2,0.14331912994384766,0.19943309147729435
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.5,2.0,2,0.7662666666666668,2,0.16320300102233887,0.2166135442474868
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,1.0,1.0,1034,0.7903111111111111,2,0.21795415878295898,0.2247693876136938
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,1.0,1.0,1234,0.7526666666666667,2,0.23835301399230957,0.21208562889649923
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,1.0,1.0,42,0.7834222222222222,2,0.1742079257965088,0.2304425359860698
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,1.0,1.0,99,0.7306666666666667,2,0.19026613235473633,0.2280882037654156
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,1.0,1.0,7,0.7876444444444445,2,0.21632623672485352,0.20220296298190554
