dataset_key,dataset_label,seed,bce_auc,libauc_auc
PI1_lowsep_mggn,PI1 low-sep  m>>n,1034,0.7824000000000001,0.7313777777777778
PI1_lowsep_mggn,PI1 low-sep  m>>n,1234,0.7251555555555556,0.6148444444444444
PI1_lowsep_mggn,PI1 low-sep  m>>n,42,0.7578222222222222,0.6970666666666667
PI1_lowsep_mggn,PI1 low-sep  m>>n,99,0.7062666666666666,0.6389333333333334
PI1_lowsep_mggn,PI1 low-sep  m>>n,7,0.7518666666666667,0.6934222222222222
PI1_lowsep_mggn,PI1 low-sep  m>>n,2,0.7204444444444444,0.7272888888888889
PI3_lowsep_mlln,PI3 low-sep  m<<n,1034,0.4821428571428571,0.39285714285714285
PI3_lowsep_mlln,PI3 low-sep  m<<n,1234,0.7142857142857143,0.7321428571428572
PI3_lowsep_mlln,PI3 low-sep  m<<n,42,0.3214285714285714,0.26785714285714285
PI3_lowsep_mlln,PI3 low-sep  m<<n,99,0.3928571428571429,0.48214285714285715
PI3_lowsep_mlln,PI3 low-sep  m<<n,7,0.48214285714285715,0.4107142857142857
PI3_lowsep_mlln,PI3 low-sep  m<<n,2,0.6428571428571428,0.6964285714285714
PI4_highsep_mggn,PI4 high-sep m>>n,1034,1.0,0.9998666666666666
PI4_highsep_mggn,PI4 high-sep m>>n,1234,1.0,0.9992
PI4_highsep_mggn,PI4 high-sep m>>n,42,1.0,0.9976444444444444
PI4_highsep_mggn,PI4 high-sep m>>n,99,0.9999555555555555,0.9966666666666667
PI4_highsep_mggn,PI4 high-sep m>>n,7,1.0,0.9998666666666667
PI4_highsep_mggn,PI4 high-sep m>>n,2,1.0,0.9995555555555555
PI6_highsep_mlln,PI6 high-sep m<<n,1034,1.0,0.7678571428571428
PI6_highsep_mlln,PI6 high-sep m<<n,1234,1.0,0.5357142857142857
PI6_highsep_mlln,PI6 high-sep m<<n,42,0.9821428571428571,0.7142857142857143
PI6_highsep_mlln,PI6 high-sep m<<n,99,0.9821428571428572,0.875
PI6_highsep_mlln,PI6 high-sep m<<n,7,1.0,0.9107142857142857
PI6_highsep_mlln,PI6 high-sep m<<n,2,1.0,0.6785714285714286
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),1034,0.7525077160493826,0.5941358024691358
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),1234,0.640625,0.5547839506172839
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),42,0.7395833333333333,0.5179398148148148
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),99,0.7044753086419753,0.574266975308642
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),7,0.7310956790123456,0.6358024691358025
PI7_lowsep_imbalanced,PI7 low-sep  imbalanced (80/20),2,0.7841435185185185,0.7345679012345678
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),1034,0.9996141975308642,0.9967206790123457
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),1234,1.0,0.9895833333333334
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),42,1.0,0.9990354938271605
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),99,0.9998070987654322,0.9953703703703703
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),7,1.0,0.9969135802469136
PI8_highsep_imbalanced,PI8 high-sep imbalanced (80/20),2,1.0,0.9957561728395061
