iteration,residual_inf,obj_value,ssn_iters,sigma_t
1,0.2906032867440859,0.18979427465735627,10,0.1
2,0.03971506382279034,0.21247176093005718,10,0.2
3,0.029921362537121066,0.22549019818481145,10,0.4
4,0.012872730098887926,0.24509803921569923,12,0.8
5,0.00697579226440462,0.25163398692810557,9,1.6
6,0.0018900576152759562,0.2530156116880598,25,3.2
7,0.03731861630194678,0.24534231895545242,25,6.4
8,0.16490496301597382,0.22549019607843138,1,12.8
9,0.00012740473530298608,0.22549019607843138,1,25.6
10,0.00047937190105882096,0.22549019607843138,1,51.2
11,0.00024007505645645073,0.22549019607843138,1,102.4
12,0.00011847095338816705,0.22549019607843138,1,204.8
13,5.845091768605461e-05,0.22549019607843138,1,409.6
