dataset_key,dataset_label,m,n,sep,regime,sigma,gamma,seed,auc,alm_iter,alm_time,L_final
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.1,10.0,1034,0.788088888888889,2,0.409743070602417,0.1875403869283074
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.1,10.0,1234,0.7535555555555555,2,0.37061095237731934,0.17650507727211154
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.1,10.0,42,0.7825333333333333,2,0.39166998863220215,0.18969495758908234
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.1,10.0,99,0.7292444444444444,2,0.17603278160095215,0.189557901800122
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.1,10.0,7,0.7871111111111112,2,0.15325474739074707,0.1693922408134112
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.1,10.0,2,0.7663111111111112,2,0.15598797798156738,0.18069541838649003
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.25,4.0,1034,0.7878222222222222,2,0.14921116828918457,0.20820665954247541
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.25,4.0,1234,0.7537777777777777,2,0.1465930938720703,0.19638233006678815
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.25,4.0,42,0.782711111111111,2,0.15613293647766113,0.2122175003348524
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.25,4.0,99,0.7291555555555556,2,0.16535186767578125,0.21134210814267065
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.25,4.0,7,0.7875555555555556,2,0.16884803771972656,0.1877195006418816
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.25,4.0,2,0.7663111111111112,2,0.14884614944458008,0.2024323074731188
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.5,2.0,1034,0.788888888888889,2,0.17426705360412598,0.2215497988750848
PI1_lowsep_mggn,PI1 low-sep  m>>n,1000,50,low,m>>n,0.5,2.0,1234,0.7532,2,0.15982294082641602,0.20855417894271325
